Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,7179.7099609375,7179.7099609375,7179.7099609375,7179.7099609375,7179.7099609375,0
2005-01-04,7090.52001953125,7090.52001953125,7090.52001953125,7090.52001953125,7090.52001953125,0
2005-01-05,7055.2099609375,7055.2099609375,7055.2099609375,7055.2099609375,7055.2099609375,0
2005-01-06,7076.93994140625,7076.93994140625,7076.93994140625,7076.93994140625,7076.93994140625,0
2005-01-07,7057.509765625,7057.509765625,7057.509765625,7057.509765625,7057.509765625,0
2005-01-10,7081.7001953125,7081.7001953125,7081.7001953125,7081.7001953125,7081.7001953125,0
2005-01-11,7044.10986328125,7044.10986328125,7044.10986328125,7044.10986328125,7044.10986328125,0
2005-01-12,7075.64013671875,7075.64013671875,7075.64013671875,7075.64013671875,7075.64013671875,0
2005-01-13,7028.669921875,7028.669921875,7028.669921875,7028.669921875,7028.669921875,0
2005-01-14,7066.22021484375,7066.22021484375,7066.22021484375,7066.22021484375,7066.22021484375,0
2005-01-18,7114.52978515625,7114.52978515625,7114.52978515625,7114.52978515625,7114.52978515625,0
2005-01-19,7059.27001953125,7059.27001953125,7059.27001953125,7059.27001953125,7059.27001953125,0
2005-01-20,7010.47021484375,7010.47021484375,7010.47021484375,7010.47021484375,7010.47021484375,0
2005-01-21,6996.56005859375,6996.56005859375,6996.56005859375,6996.56005859375,6996.56005859375,0
2005-01-24,6984.02978515625,6984.02978515625,6984.02978515625,6984.02978515625,6984.02978515625,0
2005-01-25,6998.64013671875,6998.64013671875,6998.64013671875,6998.64013671875,6998.64013671875,0
2005-01-26,7046.39990234375,7046.39990234375,7046.39990234375,7046.39990234375,7046.39990234375,0
2005-01-27,7048.97021484375,7048.97021484375,7048.97021484375,7048.97021484375,7048.97021484375,0
2005-01-28,7031.990234375,7031.990234375,7031.990234375,7031.990234375,7031.990234375,0
2005-01-31,7089.830078125,7089.830078125,7089.830078125,7089.830078125,7089.830078125,0
2005-02-01,7146.2099609375,7146.2099609375,7146.2099609375,7146.2099609375,7146.2099609375,0
2005-02-02,7169.39013671875,7169.39013671875,7169.39013671875,7169.39013671875,7169.39013671875,0
2005-02-03,7148.31982421875,7148.31982421875,7148.31982421875,7148.31982421875,7148.31982421875,0
2005-02-04,7217.43017578125,7217.43017578125,7217.43017578125,7217.43017578125,7217.43017578125,0
2005-02-07,7200.91015625,7200.91015625,7200.91015625,7200.91015625,7200.91015625,0
2005-02-08,7207.4501953125,7207.4501953125,7207.4501953125,7207.4501953125,7207.4501953125,0
2005-02-09,7161.990234375,7161.990234375,7161.990234375,7161.990234375,7161.990234375,0
2005-02-10,7210.64990234375,7210.64990234375,7210.64990234375,7210.64990234375,7210.64990234375,0
2005-02-11,7261.64013671875,7261.64013671875,7261.64013671875,7261.64013671875,7261.64013671875,0
2005-02-14,7280.3701171875,7280.3701171875,7280.3701171875,7280.3701171875,7280.3701171875,0
2005-02-15,7303.9599609375,7303.9599609375,7303.9599609375,7303.9599609375,7303.9599609375,0
2005-02-16,7306.759765625,7306.759765625,7306.759765625,7306.759765625,7306.759765625,0
2005-02-17,7272.5400390625,7272.5400390625,7272.5400390625,7272.5400390625,7272.5400390625,0
2005-02-18,7287.47021484375,7287.47021484375,7287.47021484375,7287.47021484375,7287.47021484375,0
2005-02-22,7211.169921875,7211.169921875,7211.169921875,7211.169921875,7211.169921875,0
2005-02-23,7243.27978515625,7243.27978515625,7243.27978515625,7243.27978515625,7243.27978515625,0
2005-02-24,7283.27978515625,7283.27978515625,7283.27978515625,7283.27978515625,7283.27978515625,0
2005-02-25,7361.89013671875,7361.89013671875,7361.89013671875,7361.89013671875,7361.89013671875,0
2005-02-28,7321.22998046875,7321.22998046875,7321.22998046875,7321.22998046875,7321.22998046875,0
2005-03-01,7351.02978515625,7351.02978515625,7351.02978515625,7351.02978515625,7351.02978515625,0
2005-03-02,7343.14013671875,7343.14013671875,7343.14013671875,7343.14013671875,7343.14013671875,0
2005-03-03,7357.1201171875,7357.1201171875,7357.1201171875,7357.1201171875,7357.1201171875,0
2005-03-04,7441.18017578125,7441.18017578125,7441.18017578125,7441.18017578125,7441.18017578125,0
2005-03-07,7440.31005859375,7440.31005859375,7440.31005859375,7440.31005859375,7440.31005859375,0
